"values","array"
14246.12,"C:"
14326.12,"C:"
14341.11,"C:"
14345.11,"C:"
14355.12,"C:"
14358.12,"C:"
14360.12,"C:"
14374.11,"C:"
14495.11,"C:"
14502.11,"C:"
14507.12,"C:"
14521.11,"C:"
14526.11,"C:"
14574.11,"C:"
14574.21,"C:"
14578.12,"C:"
14605.12,"C:"
14624.31,"C:"
14667.12,"C:"
14688.12,"C:"
14696.12,"C:"
14697.12,"C:"
14704.12,"C:"
14710.12,"C:"
14724.51,"C:"
14727.12,"C:"
14743.12,"C:"
14749.12,"C:"
14757.12,"C:"
14759.12,"C:"
14789.12,"C:"
14793.12,"C:"
14794.12,"C:"
14795.12,"C:"
14796.12,"C:"
14800.12,"C:"
14822.12,"C:"
14838.12,"C:"
14840.12,"C:"
14862.12,"C:"
14864.12,"C:"
14866.12,"C:"
15181.11,"C:"
15220.11,"C:"
15227.12,"C:"
15235.11,"C:"
15242.12,"C:"
15254.12,"C:"
15266.11,"C:"
15270.11,"C:"
15279.12,"C:"
15280.12,"C:"
15283.12,"C:"
15285.12,"C:"
15363.11,"C:"
15363.21,"C:"
15368.12,"C:"
15413.31,"C:"
15424.12,"C:"
15425.12,"C:"
15427.12,"C:"
15429.12,"C:"
15471.12,"C:"
15495.12,"C:"
15513.5,"C:"
15581.12,"C:"
15582.12,"C:"
15585.12,"C:"
15587.12,"C:"
15602.12,"C:"
15620.12,"C:"
15630.1,"C:"
15769.1,"C:"
16123.1,"C:"
16123.2,"C:"
16128.12,"C:"
16167.12,"C:"
16168.12,"C:"
16173.3,"C:"
16238.12,"C:"
16240.12,"C:"
16243.12,"C:"
16249.12,"C:"
16256.12,"C:"
16259.12,"C:"
16273.51,"C:"
16301.12,"C:"
16533.11,"C:"
16540.11,"C:"
16603.11,"C:"
16641.11,"C:"
16697.11,"C:"
16704.11,"C:"
16707.11,"C:"
16717.11,"C:"
16723.12,"C:"
16729.11,"C:"
16751.11,"C:"
16762.12,"C:"
16766.12,"C:"
16776.11,"C:"
16780.11,"C:"
16785.11,"C:"
16832.11,"C:"
16899.11,"C:"
16899.21,"C:"
16902.12,"C:"
16939.12,"C:"
16940.12,"C:"
16949.31,"C:"
16956.12,"C:"
17027.12,"C:"
17049.5,"C:"
17060.12,"C:"
17066.1,"C:"
17208.1,"C:"
17256.1,"C:"
17269.1,"C:"
17452.1,"C:"
17463.1,"C:"
17468.1,"C:"
17475.12,"C:"
17516.1,"C:"
17526.1,"C:"
17533.12,"C:"
17551.1,"C:"
17564.1,"C:"
17574.12,"C:"
17591.1,"C:"
17598.12,"C:"
17611.1,"C:"
17621.1,"C:"
17628.1,"C:"
17631.1,"C:"
17640.1,"C:"
17645.1,"C:"
17648.1,"C:"
17672.1,"C:"
17672.2,"C:"
17677.12,"C:"
17715.12,"C:"
17720.12,"C:"
17722.3,"C:"
17741.12,"C:"
17742.12,"C:"
17742.12,"C:"
17744.12,"C:"
17753.12,"C:"
17755.12,"C:"
17757.12,"C:"
17777.12,"C:"
17800.12,"C:"
17822.51,"C:"
17828.12,"C:"
17847.12,"C:"
17883.12,"C:"
17900.12,"C:"
17925.12,"C:"
17984.12,"C:"
17995.12,"C:"
18121.11,"C:"
18170.12,"C:"
18173.12,"C:"
18174.12,"C:"
18177.12,"C:"
18178.12,"C:"
18185.12,"C:"
18188.12,"C:"
18193.12,"C:"
18210.12,"C:"
18217.12,"C:"
18221.12,"C:"
18344.12,"C:"
18346.12,"C:"
18348.12,"C:"
18350.12,"C:"
18352.12,"C:"
18358.12,"C:"
